{'max_epoch': 10, 'train_batch_size': 2, 'last_iter': 0, 'finetune_lr': 5e-05, 'scratch_lr': 0.0005, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'gpu': '0,1', 'multi-GPUs': False, 'fp16': False, 'warm_up_epochs': 3, 'seed': 2020}

iter: 2, bce1: 0.7400565, bce2: 0.7344075, bce3: 0.7163005, hinge1: 1.5215925, hinge2: 1.4956885, hinge3: 2.5828425, cla: 0.8287025, lr: 0.0000008
iter: 3, bce1: 0.7515115, bce2: 0.7068845, bce3: 0.7343205, hinge1: 1.6681685, hinge2: 1.4822415, hinge3: 2.2918715, cla: 1.4447435, lr: 0.0000008
iter: 4, bce1: 0.7448255, bce2: 0.7158585, bce3: 0.7265415, hinge1: 1.7895415, hinge2: 1.6945205, hinge3: 2.5006525, cla: 1.3019485, lr: 0.0000008
iter: 5, bce1: 0.7368415, bce2: 0.7138175, bce3: 0.7284865, hinge1: 1.7760535, hinge2: 1.7062735, hinge3: 2.3097395, cla: 1.3291885, lr: 0.0000008
iter: 6, bce1: 0.7324515, bce2: 0.7140575, bce3: 0.7328315, hinge1: 1.7071805, hinge2: 1.6434985, hinge3: 2.3143995, cla: 1.4621185, lr: 0.0000008
iter: 7, bce1: 0.7398505, bce2: 0.7124885, bce3: 0.7216415, hinge1: 1.7012225, hinge2: 1.6300595, hinge3: 2.1933675, cla: 1.7763575, lr: 0.0000008
iter: 8, bce1: 0.7414935, bce2: 0.7117695, bce3: 0.7241815, hinge1: 1.7351965, hinge2: 1.6406425, hinge3: 2.1868715, cla: 1.7408055, lr: 0.0000008
iter: 9, bce1: 0.7367525, bce2: 0.7109395, bce3: 0.7243825, hinge1: 1.7467145, hinge2: 1.6845895, hinge3: 2.2092965, cla: 2.0762295, lr: 0.0000008
iter: 10, bce1: 0.7380965, bce2: 0.7116025, bce3: 0.7233825, hinge1: 1.8156925, hinge2: 1.6980835, hinge3: 2.2429465, cla: 2.0935895, lr: 0.0000008
iter: 11, bce1: 0.7399575, bce2: 0.7126045, bce3: 0.7196655, hinge1: 1.8374205, hinge2: 1.7232445, hinge3: 2.1683755, cla: 1.9790715, lr: 0.0000008
iter: 12, bce1: 0.7345615, bce2: 0.7137135, bce3: 0.7253715, hinge1: 1.8438915, hinge2: 1.7524195, hinge3: 2.1509185, cla: 2.0200175, lr: 0.0000008
