{'max_epoch': 12, 'train_batch_size': 2, 'last_iter': 0, 'finetune_lr': 5e-05, 'scratch_lr': 0.0005, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'gpu': '0,1', 'multi-GPUs': False, 'fp16': True, 'warm_up_epochs': 3, 'seed': 2020}

iter: 2, bce1: 0.7427915, bce2: 0.7077565, bce3: 0.7096775, hinge1: 1.8482485, hinge2: 1.6870005, hinge3: 2.3776595, cla: 2.2900885, lr: 0.0000008
iter: 3, bce1: 0.7451365, bce2: 0.7136925, bce3: 0.7262315, hinge1: 1.9071975, hinge2: 1.6389935, hinge3: 2.2078025, cla: 2.1090875, lr: 0.0000008
iter: 4, bce1: 0.7373025, bce2: 0.7174615, bce3: 0.7169345, hinge1: 2.0844465, hinge2: 1.9473685, hinge3: 2.3983705, cla: 2.1438985, lr: 0.0000008
iter: 5, bce1: 0.7369705, bce2: 0.7158555, bce3: 0.7183725, hinge1: 2.0831495, hinge2: 1.9592225, hinge3: 2.2178025, cla: 1.9353765, lr: 0.0000008
iter: 6, bce1: 0.7414965, bce2: 0.7155355, bce3: 0.7156835, hinge1: 2.0037285, hinge2: 1.8703985, hinge3: 2.2163505, cla: 2.0259225, lr: 0.0000008
iter: 7, bce1: 0.7341155, bce2: 0.7178905, bce3: 0.7153895, hinge1: 1.9634515, hinge2: 1.8609935, hinge3: 2.1351465, cla: 2.2185195, lr: 0.0000008
iter: 8, bce1: 0.7411565, bce2: 0.7216205, bce3: 0.7187165, hinge1: 1.9897495, hinge2: 1.8629805, hinge3: 2.1368845, cla: 2.3400255, lr: 0.0000008
iter: 9, bce1: 0.7419755, bce2: 0.7231175, bce3: 0.7193255, hinge1: 1.9731675, hinge2: 1.8732225, hinge3: 2.1608575, cla: 2.4437295, lr: 0.0000008
iter: 10, bce1: 0.7397715, bce2: 0.7201215, bce3: 0.7193315, hinge1: 1.9442585, hinge2: 1.8500545, hinge3: 2.2156265, cla: 2.2892145, lr: 0.0000008
iter: 11, bce1: 0.7366835, bce2: 0.7229575, bce3: 0.7199085, hinge1: 1.9250845, hinge2: 1.8486755, hinge3: 2.1402635, cla: 2.1383995, lr: 0.0000008
iter: 12, bce1: 0.7333795, bce2: 0.7236995, bce3: 0.7230765, hinge1: 1.8738795, hinge2: 1.8223385, hinge3: 2.1167985, cla: 1.9949125, lr: 0.0000008
iter: 13, bce1: 0.7320245, bce2: 0.7227725, bce3: 0.7232705, hinge1: 1.8901765, hinge2: 1.8364465, hinge3: 2.1093455, cla: 1.9347915, lr: 0.0000008
iter: 14, bce1: 0.7339775, bce2: 0.7303035, bce3: 0.7214605, hinge1: 1.8413745, hinge2: 1.8002135, hinge3: 2.1511525, cla: 1.8941615, lr: 0.0000008
iter: 15, bce1: 0.7319475, bce2: 0.7310275, bce3: 0.7196755, hinge1: 1.8205565, hinge2: 1.7886065, hinge3: 2.1713475, cla: 1.9221585, lr: 0.0000008
iter: 16, bce1: 0.7314175, bce2: 0.7291215, bce3: 0.7151265, hinge1: 1.8394675, hinge2: 1.8005755, hinge3: 2.1421085, cla: 1.9390305, lr: 0.0000008
iter: 17, bce1: 0.7299885, bce2: 0.7281555, bce3: 0.7134975, hinge1: 1.8625025, hinge2: 1.8383095, hinge3: 2.0996715, cla: 2.0134255, lr: 0.0000008
iter: 18, bce1: 0.7296665, bce2: 0.7272235, bce3: 0.7143685, hinge1: 1.8873815, hinge2: 1.8506865, hinge3: 2.1036015, cla: 1.9829695, lr: 0.0000008
iter: 19, bce1: 0.7304735, bce2: 0.7288145, bce3: 0.7138145, hinge1: 1.8753565, hinge2: 1.8481935, hinge3: 2.1030035, cla: 1.9679625, lr: 0.0000008
iter: 20, bce1: 0.7315155, bce2: 0.7281535, bce3: 0.7144065, hinge1: 1.8733305, hinge2: 1.8515235, hinge3: 2.1024475, cla: 2.0214085, lr: 0.0000008
iter: 21, bce1: 0.7315865, bce2: 0.7277585, bce3: 0.7164985, hinge1: 1.9062965, hinge2: 1.8924215, hinge3: 2.0920215, cla: 1.9968885, lr: 0.0000008
